date,state,market,crop,min_price,max_price,modal_price
"2026-07-19","Tamil Nadu","Coimbatore Market","onion","1729","2069","1899"
"2026-07-19","Tamil Nadu","Coimbatore Market","paddy","8994","9714","9354"
"2026-07-19","Tamil Nadu","Coimbatore Market","potato","854","1134","994"
"2026-07-19","Tamil Nadu","Coimbatore Market","tomato","1230","1590","1410"
"2026-07-19","Tamil Nadu","Koyambedu Market, Chennai","onion","1739","2079","1909"
"2026-07-19","Tamil Nadu","Koyambedu Market, Chennai","paddy","9053","9773","9413"
"2026-07-19","Tamil Nadu","Koyambedu Market, Chennai","potato","860","1140","1000"
"2026-07-19","Tamil Nadu","Koyambedu Market, Chennai","tomato","1232","1592","1412"
"2026-07-19","Tamil Nadu","Madurai Mandi","onion","1683","2023","1853"
"2026-07-19","Tamil Nadu","Madurai Mandi","paddy","8963","9683","9323"
"2026-07-19","Tamil Nadu","Madurai Mandi","potato","802","1082","942"
"2026-07-19","Tamil Nadu","Madurai Mandi","tomato","1183","1543","1363"
"2026-07-19","Uttar Pradesh","Kanpur Mandi","onion","1898","2238","2068"
"2026-07-19","Uttar Pradesh","Kanpur Mandi","paddy","9165","9885","9525"
"2026-07-19","Uttar Pradesh","Kanpur Mandi","potato","1020","1300","1160"
"2026-07-19","Uttar Pradesh","Kanpur Mandi","tomato","1399","1759","1579"
"2026-07-19","Uttar Pradesh","Lucknow APMC","onion","1891","2231","2061"
"2026-07-19","Uttar Pradesh","Lucknow APMC","paddy","9183","9903","9543"
"2026-07-19","Uttar Pradesh","Lucknow APMC","potato","1010","1290","1150"
"2026-07-19","Uttar Pradesh","Lucknow APMC","tomato","1389","1749","1569"
"2026-07-20","Karnataka","Hubballi APMC","onion","1845","2185","2015"
"2026-07-20","Karnataka","Hubballi APMC","paddy","9154","9874","9514"
"2026-07-20","Karnataka","Hubballi APMC","potato","967","1247","1107"
"2026-07-20","Karnataka","Hubballi APMC","tomato","1349","1709","1529"
"2026-07-20","Karnataka","KR Market, Bengaluru","onion","1902","2242","2072"
"2026-07-20","Karnataka","KR Market, Bengaluru","paddy","9198","9918","9558"
"2026-07-20","Karnataka","KR Market, Bengaluru","potato","1018","1298","1158"
"2026-07-20","Karnataka","KR Market, Bengaluru","tomato","1407","1767","1587"
"2026-07-20","Maharashtra","Lasalgaon Mandi","onion","1896","2236","2066"
"2026-07-20","Maharashtra","Lasalgaon Mandi","paddy","9202","9922","9562"
"2026-07-20","Maharashtra","Lasalgaon Mandi","potato","1023","1303","1163"
"2026-07-20","Maharashtra","Lasalgaon Mandi","tomato","1396","1756","1576"
"2026-07-20","Maharashtra","Nashik APMC","onion","1870","2210","2040"
"2026-07-20","Maharashtra","Nashik APMC","paddy","9217","9937","9577"
"2026-07-20","Maharashtra","Nashik APMC","potato","980","1260","1120"
"2026-07-20","Maharashtra","Nashik APMC","tomato","1380","1740","1560"
"2026-07-20","Maharashtra","Pune Market Yard","onion","2020","2360","2190"
"2026-07-20","Maharashtra","Pune Market Yard","paddy","9332","10052","9692"
"2026-07-20","Maharashtra","Pune Market Yard","potato","1137","1417","1277"
"2026-07-20","Maharashtra","Pune Market Yard","tomato","1528","1888","1708"
"2026-07-20","Punjab","Jalandhar APMC","onion","1901","2241","2071"
"2026-07-20","Punjab","Jalandhar APMC","paddy","9183","9903","9543"
"2026-07-20","Punjab","Jalandhar APMC","potato","1029","1309","1169"
"2026-07-20","Punjab","Jalandhar APMC","tomato","1400","1760","1580"
"2026-07-20","Punjab","Ludhiana Grain Market","onion","1941","2281","2111"
"2026-07-20","Punjab","Ludhiana Grain Market","paddy","9200","9920","9560"
"2026-07-20","Punjab","Ludhiana Grain Market","potato","1065","1345","1205"
"2026-07-20","Punjab","Ludhiana Grain Market","tomato","1441","1801","1621"
"2026-07-20","Tamil Nadu","Coimbatore Market","onion","1716","2056","1886"
"2026-07-20","Tamil Nadu","Coimbatore Market","paddy","9020","9740","9380"
"2026-07-20","Tamil Nadu","Coimbatore Market","potato","850","1130","990"
"2026-07-20","Tamil Nadu","Coimbatore Market","tomato","1209","1569","1389"
"2026-07-20","Tamil Nadu","Koyambedu Market, Chennai","onion","1705","2045","1875"
"2026-07-20","Tamil Nadu","Koyambedu Market, Chennai","paddy","8956","9676","9316"
"2026-07-20","Tamil Nadu","Koyambedu Market, Chennai","potato","829","1109","969"
"2026-07-20","Tamil Nadu","Koyambedu Market, Chennai","tomato","1203","1563","1383"
"2026-07-20","Tamil Nadu","Madurai Mandi","onion","1653","1993","1823"
"2026-07-20","Tamil Nadu","Madurai Mandi","paddy","8925","9645","9285"
"2026-07-20","Tamil Nadu","Madurai Mandi","potato","780","1060","920"
"2026-07-20","Tamil Nadu","Madurai Mandi","tomato","1153","1513","1333"
"2026-07-20","Uttar Pradesh","Kanpur Mandi","onion","1880","2220","2050"
"2026-07-20","Uttar Pradesh","Kanpur Mandi","paddy","9180","9900","9540"
"2026-07-20","Uttar Pradesh","Kanpur Mandi","potato","1011","1291","1151"
"2026-07-20","Uttar Pradesh","Kanpur Mandi","tomato","1378","1738","1558"
"2026-07-20","Uttar Pradesh","Lucknow APMC","onion","1872","2212","2042"
"2026-07-20","Uttar Pradesh","Lucknow APMC","paddy","9172","9892","9532"
"2026-07-20","Uttar Pradesh","Lucknow APMC","potato","992","1272","1132"
"2026-07-20","Uttar Pradesh","Lucknow APMC","tomato","1378","1738","1558"
"2026-07-21","Karnataka","Hubballi APMC","onion","1856","2196","2026"
"2026-07-21","Karnataka","Hubballi APMC","paddy","9247","9967","9607"
"2026-07-21","Karnataka","Hubballi APMC","potato","982","1262","1122"
"2026-07-21","Karnataka","Hubballi APMC","tomato","1355","1715","1535"
"2026-07-21","Karnataka","KR Market, Bengaluru","onion","1885","2225","2055"
"2026-07-21","Karnataka","KR Market, Bengaluru","paddy","9219","9939","9579"
"2026-07-21","Karnataka","KR Market, Bengaluru","potato","1009","1289","1149"
"2026-07-21","Karnataka","KR Market, Bengaluru","tomato","1389","1749","1569"
"2026-07-21","Maharashtra","Lasalgaon Mandi","onion","1912","2252","2082"
"2026-07-21","Maharashtra","Lasalgaon Mandi","paddy","9298","10018","9658"
"2026-07-21","Maharashtra","Lasalgaon Mandi","potato","1043","1323","1183"
"2026-07-21","Maharashtra","Lasalgaon Mandi","tomato","1405","1765","1585"
"2026-07-21","Maharashtra","Nashik APMC","onion","1863","2203","2033"
"2026-07-21","Maharashtra","Nashik APMC","paddy","9257","9977","9617"
"2026-07-21","Maharashtra","Nashik APMC","potato","971","1251","1111"
"2026-07-21","Maharashtra","Nashik APMC","tomato","1382","1742","1562"
"2026-07-21","Maharashtra","Pune Market Yard","onion","2019","2359","2189"
"2026-07-21","Maharashtra","Pune Market Yard","paddy","9401","10121","9761"
"2026-07-21","Maharashtra","Pune Market Yard","potato","1140","1420","1280"
"2026-07-21","Maharashtra","Pune Market Yard","tomato","1525","1885","1705"
"2026-07-21","Punjab","Jalandhar APMC","onion","1903","2243","2073"
"2026-07-21","Punjab","Jalandhar APMC","paddy","9242","9962","9602"
"2026-07-21","Punjab","Jalandhar APMC","potato","1039","1319","1179"
"2026-07-21","Punjab","Jalandhar APMC","tomato","1392","1752","1572"
"2026-07-21","Punjab","Ludhiana Grain Market","onion","1915","2255","2085"
"2026-07-21","Punjab","Ludhiana Grain Market","paddy","9185","9905","9545"
"2026-07-21","Punjab","Ludhiana Grain Market","potato","1052","1332","1192"
"2026-07-21","Punjab","Ludhiana Grain Market","tomato","1406","1766","1586"
"2026-07-21","Tamil Nadu","Coimbatore Market","onion","1739","2079","1909"
"2026-07-21","Tamil Nadu","Coimbatore Market","paddy","9109","9829","9469"
"2026-07-21","Tamil Nadu","Coimbatore Market","potato","875","1155","1015"
"2026-07-21","Tamil Nadu","Coimbatore Market","tomato","1224","1584","1404"
"2026-07-21","Tamil Nadu","Koyambedu Market, Chennai","onion","1667","2007","1837"
"2026-07-21","Tamil Nadu","Koyambedu Market, Chennai","paddy","8902","9622","9262"
"2026-07-21","Tamil Nadu","Koyambedu Market, Chennai","potato","805","1085","945"
"2026-07-21","Tamil Nadu","Koyambedu Market, Chennai","tomato","1157","1517","1337"
"2026-07-21","Tamil Nadu","Madurai Mandi","onion","1646","1986","1816"
"2026-07-21","Tamil Nadu","Madurai Mandi","paddy","8962","9682","9322"
"2026-07-21","Tamil Nadu","Madurai Mandi","potato","783","1063","923"
"2026-07-21","Tamil Nadu","Madurai Mandi","tomato","1135","1495","1315"
"2026-07-21","Uttar Pradesh","Kanpur Mandi","onion","1896","2236","2066"
"2026-07-21","Uttar Pradesh","Kanpur Mandi","paddy","9268","9988","9628"
"2026-07-21","Uttar Pradesh","Kanpur Mandi","potato","1030","1310","1170"
"2026-07-21","Uttar Pradesh","Kanpur Mandi","tomato","1386","1746","1566"
"2026-07-21","Uttar Pradesh","Lucknow APMC","onion","1868","2208","2038"
"2026-07-21","Uttar Pradesh","Lucknow APMC","paddy","9229","9949","9589"
"2026-07-21","Uttar Pradesh","Lucknow APMC","potato","994","1274","1134"
"2026-07-21","Uttar Pradesh","Lucknow APMC","tomato","1370","1730","1550"
"2026-07-22","Karnataka","Hubballi APMC","onion","1900","2240","2070"
"2026-07-22","Karnataka","Hubballi APMC","paddy","9376","10096","9736"
"2026-07-22","Karnataka","Hubballi APMC","potato","1019","1299","1159"
"2026-07-22","Karnataka","Hubballi APMC","tomato","1398","1758","1578"
"2026-07-22","Karnataka","KR Market, Bengaluru","onion","1902","2242","2072"
"2026-07-22","Karnataka","KR Market, Bengaluru","paddy","9312","10032","9672"
"2026-07-22","Karnataka","KR Market, Bengaluru","potato","1030","1310","1170"
"2026-07-22","Karnataka","KR Market, Bengaluru","tomato","1399","1759","1579"
"2026-07-22","Maharashtra","Lasalgaon Mandi","onion","1957","2297","2127"
"2026-07-22","Maharashtra","Lasalgaon Mandi","paddy","9408","10128","9768"
"2026-07-22","Maharashtra","Lasalgaon Mandi","potato","1079","1359","1219"
"2026-07-22","Maharashtra","Lasalgaon Mandi","tomato","1451","1811","1631"
"2026-07-22","Maharashtra","Nashik APMC","onion","1878","2218","2048"
"2026-07-22","Maharashtra","Nashik APMC","paddy","9372","10092","9732"
"2026-07-22","Maharashtra","Nashik APMC","potato","987","1267","1127"
"2026-07-22","Maharashtra","Nashik APMC","tomato","1396","1756","1576"
"2026-07-22","Maharashtra","Pune Market Yard","onion","2052","2392","2222"
"2026-07-22","Maharashtra","Pune Market Yard","paddy","9534","10254","9894"
"2026-07-22","Maharashtra","Pune Market Yard","potato","1171","1451","1311"
"2026-07-22","Maharashtra","Pune Market Yard","tomato","1556","1916","1736"
"2026-07-22","Punjab","Jalandhar APMC","onion","1938","2278","2108"
"2026-07-22","Punjab","Jalandhar APMC","paddy","9329","10049","9689"
"2026-07-22","Punjab","Jalandhar APMC","potato","1070","1350","1210"
"2026-07-22","Punjab","Jalandhar APMC","tomato","1423","1783","1603"
"2026-07-22","Punjab","Ludhiana Grain Market","onion","1924","2264","2094"
"2026-07-22","Punjab","Ludhiana Grain Market","paddy","9237","9957","9597"
"2026-07-22","Punjab","Ludhiana Grain Market","potato","1068","1348","1208"
"2026-07-22","Punjab","Ludhiana Grain Market","tomato","1402","1762","1582"
"2026-07-22","Tamil Nadu","Coimbatore Market","onion","1778","2118","1948"
"2026-07-22","Tamil Nadu","Coimbatore Market","paddy","9180","9900","9540"
"2026-07-22","Tamil Nadu","Coimbatore Market","potato","903","1183","1043"
"2026-07-22","Tamil Nadu","Coimbatore Market","tomato","1267","1627","1447"
"2026-07-22","Tamil Nadu","Koyambedu Market, Chennai","onion","1662","2002","1832"
"2026-07-22","Tamil Nadu","Koyambedu Market, Chennai","paddy","8924","9644","9284"
"2026-07-22","Tamil Nadu","Koyambedu Market, Chennai","potato","812","1092","952"
"2026-07-22","Tamil Nadu","Koyambedu Market, Chennai","tomato","1137","1497","1317"
"2026-07-22","Tamil Nadu","Madurai Mandi","onion","1674","2014","1844"
"2026-07-22","Tamil Nadu","Madurai Mandi","paddy","9042","9762","9402"
"2026-07-22","Tamil Nadu","Madurai Mandi","potato","810","1090","950"
"2026-07-22","Tamil Nadu","Madurai Mandi","tomato","1156","1516","1336"
"2026-07-22","Uttar Pradesh","Kanpur Mandi","onion","1938","2278","2108"
"2026-07-22","Uttar Pradesh","Kanpur Mandi","paddy","9362","10082","9722"
"2026-07-22","Uttar Pradesh","Kanpur Mandi","potato","1064","1344","1204"
"2026-07-22","Uttar Pradesh","Kanpur Mandi","tomato","1429","1789","1609"
"2026-07-22","Uttar Pradesh","Lucknow APMC","onion","1900","2240","2070"
"2026-07-22","Uttar Pradesh","Lucknow APMC","paddy","9346","10066","9706"
"2026-07-22","Uttar Pradesh","Lucknow APMC","potato","1024","1304","1164"
"2026-07-22","Uttar Pradesh","Lucknow APMC","tomato","1396","1756","1576"
"2026-07-23","Karnataka","Hubballi APMC","onion","1946","2286","2116"
"2026-07-23","Karnataka","Hubballi APMC","paddy","9457","10177","9817"
"2026-07-23","Karnataka","Hubballi APMC","potato","1047","1327","1187"
"2026-07-23","Karnataka","Hubballi APMC","tomato","1456","1816","1636"
"2026-07-23","Karnataka","KR Market, Bengaluru","onion","1947","2287","2117"
"2026-07-23","Karnataka","KR Market, Bengaluru","paddy","9417","10137","9777"
"2026-07-23","Karnataka","KR Market, Bengaluru","potato","1065","1345","1205"
"2026-07-23","Karnataka","KR Market, Bengaluru","tomato","1444","1804","1624"
"2026-07-23","Maharashtra","Lasalgaon Mandi","onion","1992","2332","2162"
"2026-07-23","Maharashtra","Lasalgaon Mandi","paddy","9455","10175","9815"
"2026-07-23","Maharashtra","Lasalgaon Mandi","potato","1097","1377","1237"
"2026-07-23","Maharashtra","Lasalgaon Mandi","tomato","1500","1860","1680"
"2026-07-23","Maharashtra","Nashik APMC","onion","1928","2268","2098"
"2026-07-23","Maharashtra","Nashik APMC","paddy","9532","10252","9892"
"2026-07-23","Maharashtra","Nashik APMC","potato","1028","1308","1168"
"2026-07-23","Maharashtra","Nashik APMC","tomato","1448","1808","1628"
"2026-07-23","Maharashtra","Pune Market Yard","onion","2106","2446","2276"
"2026-07-23","Maharashtra","Pune Market Yard","paddy","9653","10373","10013"
"2026-07-23","Maharashtra","Pune Market Yard","potato","1209","1489","1349"
"2026-07-23","Maharashtra","Pune Market Yard","tomato","1617","1977","1797"
"2026-07-23","Punjab","Jalandhar APMC","onion","1970","2310","2140"
"2026-07-23","Punjab","Jalandhar APMC","paddy","9363","10083","9723"
"2026-07-23","Punjab","Jalandhar APMC","potato","1088","1368","1228"
"2026-07-23","Punjab","Jalandhar APMC","tomato","1464","1824","1644"
"2026-07-23","Punjab","Ludhiana Grain Market","onion","1955","2295","2125"
"2026-07-23","Punjab","Ludhiana Grain Market","paddy","9285","10005","9645"
"2026-07-23","Punjab","Ludhiana Grain Market","potato","1093","1373","1233"
"2026-07-23","Punjab","Ludhiana Grain Market","tomato","1431","1791","1611"
"2026-07-23","Tamil Nadu","Coimbatore Market","onion","1796","2136","1966"
"2026-07-23","Tamil Nadu","Coimbatore Market","paddy","9178","9898","9538"
"2026-07-23","Tamil Nadu","Coimbatore Market","potato","907","1187","1047"
"2026-07-23","Tamil Nadu","Coimbatore Market","tomato","1298","1658","1478"
"2026-07-23","Tamil Nadu","Koyambedu Market, Chennai","onion","1686","2026","1856"
"2026-07-23","Tamil Nadu","Koyambedu Market, Chennai","paddy","8963","9683","9323"
"2026-07-23","Tamil Nadu","Koyambedu Market, Chennai","potato","835","1115","975"
"2026-07-23","Tamil Nadu","Koyambedu Market, Chennai","tomato","1153","1513","1333"
"2026-07-23","Tamil Nadu","Madurai Mandi","onion","1706","2046","1876"
"2026-07-23","Tamil Nadu","Madurai Mandi","paddy","9080","9800","9440"
"2026-07-23","Tamil Nadu","Madurai Mandi","potato","831","1111","971"
"2026-07-23","Tamil Nadu","Madurai Mandi","tomato","1194","1554","1374"
"2026-07-23","Uttar Pradesh","Kanpur Mandi","onion","1967","2307","2137"
"2026-07-23","Uttar Pradesh","Kanpur Mandi","paddy","9388","10108","9748"
"2026-07-23","Uttar Pradesh","Kanpur Mandi","potato","1076","1356","1216"
"2026-07-23","Uttar Pradesh","Kanpur Mandi","tomato","1470","1830","1650"
"2026-07-23","Uttar Pradesh","Lucknow APMC","onion","1947","2287","2117"
"2026-07-23","Uttar Pradesh","Lucknow APMC","paddy","9442","10162","9802"
"2026-07-23","Uttar Pradesh","Lucknow APMC","potato","1057","1337","1197"
"2026-07-23","Uttar Pradesh","Lucknow APMC","tomato","1451","1811","1631"
"2026-07-24","Karnataka","Hubballi APMC","onion","1958","2298","2128"
"2026-07-24","Karnataka","Hubballi APMC","paddy","9464","10184","9824"
"2026-07-24","Karnataka","Hubballi APMC","potato","1045","1325","1185"
"2026-07-24","Karnataka","Hubballi APMC","tomato","1487","1847","1667"
"2026-07-24","Karnataka","KR Market, Bengaluru","onion","1978","2318","2148"
"2026-07-24","Karnataka","KR Market, Bengaluru","paddy","9456","10176","9816"
"2026-07-24","Karnataka","KR Market, Bengaluru","potato","1080","1360","1220"
"2026-07-24","Karnataka","KR Market, Bengaluru","tomato","1490","1850","1670"
"2026-07-24","Maharashtra","Lasalgaon Mandi","onion","1992","2332","2162"
"2026-07-24","Maharashtra","Lasalgaon Mandi","paddy","9437","10157","9797"
"2026-07-24","Maharashtra","Lasalgaon Mandi","potato","1086","1366","1226"
"2026-07-24","Maharashtra","Lasalgaon Mandi","tomato","1516","1876","1696"
"2026-07-24","Maharashtra","Nashik APMC","onion","1985","2325","2155"
"2026-07-24","Maharashtra","Nashik APMC","paddy","9655","10375","10015"
"2026-07-24","Maharashtra","Nashik APMC","potato","1064","1344","1204"
"2026-07-24","Maharashtra","Nashik APMC","tomato","1519","1879","1699"
"2026-07-24","Maharashtra","Pune Market Yard","onion","2138","2478","2308"
"2026-07-24","Maharashtra","Pune Market Yard","paddy","9698","10418","10058"
"2026-07-24","Maharashtra","Pune Market Yard","potato","1222","1502","1362"
"2026-07-24","Maharashtra","Pune Market Yard","tomato","1667","2027","1847"
"2026-07-24","Punjab","Jalandhar APMC","onion","1967","2307","2137"
"2026-07-24","Punjab","Jalandhar APMC","paddy","9325","10045","9685"
"2026-07-24","Punjab","Jalandhar APMC","potato","1076","1356","1216"
"2026-07-24","Punjab","Jalandhar APMC","tomato","1475","1835","1655"
"2026-07-24","Punjab","Ludhiana Grain Market","onion","1967","2307","2137"
"2026-07-24","Punjab","Ludhiana Grain Market","paddy","9260","9980","9620"
"2026-07-24","Punjab","Ludhiana Grain Market","potato","1095","1375","1235"
"2026-07-24","Punjab","Ludhiana Grain Market","tomato","1453","1813","1633"
"2026-07-24","Tamil Nadu","Coimbatore Market","onion","1778","2118","1948"
"2026-07-24","Tamil Nadu","Coimbatore Market","paddy","9130","9850","9490"
"2026-07-24","Tamil Nadu","Coimbatore Market","potato","886","1166","1026"
"2026-07-24","Tamil Nadu","Coimbatore Market","tomato","1291","1651","1471"
"2026-07-24","Tamil Nadu","Koyambedu Market, Chennai","onion","1701","2041","1871"
"2026-07-24","Tamil Nadu","Koyambedu Market, Chennai","paddy","8942","9662","9302"
"2026-07-24","Tamil Nadu","Koyambedu Market, Chennai","potato","841","1121","981"
"2026-07-24","Tamil Nadu","Koyambedu Market, Chennai","tomato","1174","1534","1354"
"2026-07-24","Tamil Nadu","Madurai Mandi","onion","1708","2048","1878"
"2026-07-24","Tamil Nadu","Madurai Mandi","paddy","9043","9763","9403"
"2026-07-24","Tamil Nadu","Madurai Mandi","potato","823","1103","963"
"2026-07-24","Tamil Nadu","Madurai Mandi","tomato","1209","1569","1389"
"2026-07-24","Uttar Pradesh","Kanpur Mandi","onion","1960","2300","2130"
"2026-07-24","Uttar Pradesh","Kanpur Mandi","paddy","9354","10074","9714"
"2026-07-24","Uttar Pradesh","Kanpur Mandi","potato","1061","1341","1201"
"2026-07-24","Uttar Pradesh","Kanpur Mandi","tomato","1477","1837","1657"
"2026-07-24","Uttar Pradesh","Lucknow APMC","onion","1970","2310","2140"
"2026-07-24","Uttar Pradesh","Lucknow APMC","paddy","9462","10182","9822"
"2026-07-24","Uttar Pradesh","Lucknow APMC","potato","1064","1344","1204"
"2026-07-24","Uttar Pradesh","Lucknow APMC","tomato","1491","1851","1671"
"2026-07-25","Karnataka","Hubballi APMC","onion","1943","2283","2113"
"2026-07-25","Karnataka","Hubballi APMC","paddy","9457","10177","9817"
"2026-07-25","Karnataka","Hubballi APMC","potato","1027","1307","1167"
"2026-07-25","Karnataka","Hubballi APMC","tomato","1482","1842","1662"
"2026-07-25","Karnataka","KR Market, Bengaluru","onion","1975","2315","2145"
"2026-07-25","Karnataka","KR Market, Bengaluru","paddy","9432","10152","9792"
"2026-07-25","Karnataka","KR Market, Bengaluru","potato","1067","1347","1207"
"2026-07-25","Karnataka","KR Market, Bengaluru","tomato","1502","1862","1682"
"2026-07-25","Maharashtra","Lasalgaon Mandi","onion","1971","2311","2141"
"2026-07-25","Maharashtra","Lasalgaon Mandi","paddy","9428","10148","9788"
"2026-07-25","Maharashtra","Lasalgaon Mandi","potato","1068","1348","1208"
"2026-07-25","Maharashtra","Lasalgaon Mandi","tomato","1501","1861","1681"
"2026-07-25","Maharashtra","Nashik APMC","onion","2012","2352","2182"
"2026-07-25","Maharashtra","Nashik APMC","paddy","9701","10421","10061"
"2026-07-25","Maharashtra","Nashik APMC","potato","1072","1352","1212"
"2026-07-25","Maharashtra","Nashik APMC","tomato","1568","1928","1748"
"2026-07-25","Maharashtra","Pune Market Yard","onion","2134","2474","2304"
"2026-07-25","Maharashtra","Pune Market Yard","paddy","9695","10415","10055"
"2026-07-25","Maharashtra","Pune Market Yard","potato","1209","1489","1349"
"2026-07-25","Maharashtra","Pune Market Yard","tomato","1680","2040","1860"
"2026-07-25","Punjab","Jalandhar APMC","onion","1940","2280","2110"
"2026-07-25","Punjab","Jalandhar APMC","paddy","9281","10001","9641"
"2026-07-25","Punjab","Jalandhar APMC","potato","1052","1332","1192"
"2026-07-25","Punjab","Jalandhar APMC","tomato","1452","1812","1632"
"2026-07-25","Punjab","Ludhiana Grain Market","onion","1944","2284","2114"
"2026-07-25","Punjab","Ludhiana Grain Market","paddy","9182","9902","9542"
"2026-07-25","Punjab","Ludhiana Grain Market","potato","1069","1349","1209"
"2026-07-25","Punjab","Ludhiana Grain Market","tomato","1438","1798","1618"
"2026-07-25","Tamil Nadu","Coimbatore Market","onion","1754","2094","1924"
"2026-07-25","Tamil Nadu","Coimbatore Market","paddy","9121","9841","9481"
"2026-07-25","Tamil Nadu","Coimbatore Market","potato","870","1150","1010"
"2026-07-25","Tamil Nadu","Coimbatore Market","tomato","1265","1625","1445"
"2026-07-25","Tamil Nadu","Koyambedu Market, Chennai","onion","1681","2021","1851"
"2026-07-25","Tamil Nadu","Koyambedu Market, Chennai","paddy","8853","9573","9213"
"2026-07-25","Tamil Nadu","Koyambedu Market, Chennai","potato","818","1098","958"
"2026-07-25","Tamil Nadu","Koyambedu Market, Chennai","tomato","1162","1522","1342"
"2026-07-25","Tamil Nadu","Madurai Mandi","onion","1681","2021","1851"
"2026-07-25","Tamil Nadu","Madurai Mandi","paddy","8984","9704","9344"
"2026-07-25","Tamil Nadu","Madurai Mandi","potato","797","1077","937"
"2026-07-25","Tamil Nadu","Madurai Mandi","tomato","1188","1548","1368"
"2026-07-25","Uttar Pradesh","Kanpur Mandi","onion","1936","2276","2106"
"2026-07-25","Uttar Pradesh","Kanpur Mandi","paddy","9335","10055","9695"
"2026-07-25","Uttar Pradesh","Kanpur Mandi","potato","1042","1322","1182"
"2026-07-25","Uttar Pradesh","Kanpur Mandi","tomato","1456","1816","1636"
"2026-07-25","Uttar Pradesh","Lucknow APMC","onion","1960","2300","2130"
"2026-07-25","Uttar Pradesh","Lucknow APMC","paddy","9442","10162","9802"
"2026-07-25","Uttar Pradesh","Lucknow APMC","potato","1047","1327","1187"
"2026-07-25","Uttar Pradesh","Lucknow APMC","tomato","1494","1854","1674"
